candidate_district_checked,candidate_id_checked,Name,candidate_office_checked,candidate_party_checked,candidate_state_checked,candidate_url,Sector,committee_url,date_signed_formatted,district_checked,election_code,election_other_description,Growth of $1 during Run,expenditure_date_formatted,expenditure_purpose_code,expenditure_purpose_descrip,filer_committee_id_number,form_type,memo_code,memo_text_description,payee_city,payee_name_simplified,payee_organization_name,payee_state,payee_street_1,payee_street_2,payee_zip,race_url,short_office,superceded_by_amendment,support_oppose_checked,transaction_id,,,,
0,P60006111,Robert Half International,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Industrials,/committee/2016/keep-the-promise-i/C00575373/,,1522,P2016,,16,1984-12-25,,VOTER CONTACT SVCS - PUBLICATIONS/VOTER CANVASSING,C00575373,SE,, ,LAS VEGAS,CAMPAIGN DATA SOLUTIONS,CAMPAIGN DATA SOLUTIONS,NM,7740 TINTED MESA CT.,,89149,,,FALSE,S,SE.5232,,,,
0,P00003392,Interpublic Group,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Consumer Discretionary,/committee/2016/seiu-cope-service-employees-international-union-committee-on-political-education/C00004036/,,1522,P2016,,17,2006-09-19,,Digital Advertising,C00004036,SE,, ,Chicago,"AL Media, LLC","AL Media, LLC",IL,222 W. Ontario St.,Suite 600,60654,,,FALSE,S,D363267,,,,
0,P60006723,Navient,P,R,US,/candidate/2016/rubio-marco/P60006723/,Financials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,44,1986-10-12,,direct mail services,C00541292,SE,, ,Columbia,"On the Mark Direct, LLC","On the Mark Direct, LLC",SC,1391 Gervais Street,Suite 520,29201,,,FALSE,S,SE.5874,,,,
0,P60006723,Ryder System,P,R,US,/candidate/2016/rubio-marco/P60006723/,Industrials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,114,1991-03-17,,direct mail services,C00541292,SE,, ,Columbia,"On the Mark Direct, LLC","On the Mark Direct, LLC",SC,1391 Gervais Street,Suite 520,29201,,,FALSE,S,SE.5872,,,,
0,P60006723,Teradata Corp.,P,R,US,/candidate/2016/rubio-marco/P60006723/,Information Technology,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,56,1987-10-12,,direct mail services,C00541292,SE,, ,Columbia,"On the Mark Direct, LLC","On the Mark Direct, LLC",SC,1391 Gervais Street,Suite 520,29201,,,FALSE,S,SE.5870,,,,
1,,Macerich,H,,AL,,Real Estate,/committee/None/None/C90013145/,,,P2016,,50,2006-09-15,,"TV and Digital Media Effective Conservative in support of Bradley Byrne, 2/17 - 3/1.",C90013145,F57,,,Alexandria,Revolution Agency,Revolution Agency,VA,1020 Princess Street,,22314,/race/2014/H/AL/01/,AL-01,FALSE,S,57594871,,,,
2,,Whole Foods Market,H,,AL,,Consumer Staples,/committee/None/None/C90013145/,,,P2016,,8,1985-09-30,,TV and Digital Media advertisement US in support of Martha Roby 2/17 - 3/1.,C90013145,F57,,,Easley,Something Else Strategies,Something Else Strategies,SC,212 Golden Willow Ct.,,29642,/race/2014/H/AL/02/,AL-02,FALSE,S,57594870,,,,
0,P60007168,Under Armour,P,D,US,/candidate/2016/sanders-bernard/P60007168/,Consumer Discretionary,/committee/2016/communications-workers-of-america-working-voices/C00488486/,,1522,P2016,,66,1988-07-19,,Radio Advertisements in Nevada,C00488486,SE,, ,Washington,Canal Partners Media,Canal Partners Media,DC,"1027 33rd Street, NW",Suite 140,20007,,,FALSE,S,D30860,,,,
0,P00003392,Hanesbrands Inc,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Consumer Discretionary,/committee/2016/planned-parenthood-votes/C00489799/,,1522,P2016,Democratic Primary,47,1992-02-06,,Persuasion calls - Estimated cost,C00489799,SE,,,Rancho Mirage,Stones' Phones,Stones' Phones,CA,41-750 Rancho Las Palmas Dr #E-3,,92270,,,FALSE,S,B594867,,,,
0,P00003392,AES Corp,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Utilities,/committee/2016/planned-parenthood-votes/C00489799/,,1522,P2016,Democratic Primary,65,2002-04-07,,Online ad buy - Estimated cost,C00489799,SE,,,Arlington,Blueprint Interactive,Blueprint Interactive,VA,2229 North Pollard St,,22207,,,FALSE,S,B594866,,,,
0,P00003392,Helmerich & Payne,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Energy,/committee/2016/planned-parenthood-votes/C00489799/,,1522,P2016,Democratic Primary,48,1992-09-16,,"Production of TV, Cable, online ads - Estimated cost",C00489799,SE,,,Washington,76 Words,76 Words,DC,"1806 Vernon St, NW #100",,20009,,,FALSE,S,B594865,,,,
3,H2AL03032,News Corp. Class A,H,R,AL,/candidate/2016/rogers-michael/H2AL03032/,Consumer Discretionary,/committee/2016/national-association-of-realtors-congressional-fund/C00488742/,,1085,P2016,,21,1997-02-06,,Online video production costs,C00488742,SE,,,Washington,Meath Media Group,Meath Media Group,DC,"4441 Klingle St., NW",,200163578,/race/2014/H/AL/03/,AL-03,FALSE,S,E9DB527F60AF84A13836,,,,
0,P00003392,CF Industries Holdings Inc,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Materials,/committee/2016/planned-parenthood-votes/C00489799/,,1522,P2016,Democratic Primary,113,1985-11-07,,"TV, Cable media buy - Estimated cost",C00489799,SE,,,Fairfax,Screen Strategies Media,Screen Strategies Media,VA,"11150 Fairfax Blvd, Ste 550",,22030,,,FALSE,S,B594864,,,,
,S6AL00013,Range Resources Corp.,S,R,AL,/candidate/2016/shelby-richard-c/S6AL00013/,Energy,/committee/2016/national-association-of-realtors-congressional-fund/C00488742/,,985,P2016,,61,1986-12-11,,Online video production costs,C00488742,SE,,,Washington,Meath Media Group,Meath Media Group,DC,"4441 Klingle St., NW",,200163578,/race_id/985/,AL (Sen.),FALSE,S,E91AAFD77B8644B09845,,,,
2,H0AL02087,Michael Kors Holdings,H,R,AL,/candidate/2016/roby-martha/H0AL02087/,Consumer Discretionary,/committee/2016/national-association-of-realtors-congressional-fund/C00488742/,,1084,P2016,,24,1987-01-22,,Online video production costs,C00488742,SE,,,Washington,Meath Media Group,Meath Media Group,DC,"4441 Klingle St., NW",,200163578,/race/2014/H/AL/02/,AL-02,FALSE,S,E2B72B311AC5E4FEDB2B,,,,
0,P60006111,Signet Jewelers,P,R,US,/candidate/2016/cruz-rafael-edward-ted/P60006111/,Consumer Discretionary,/committee/2016/tea-party-forward/C00608166/,,1522,C2016,,115,2000-01-25,,List Rental Fees- nationally distributed ,C00608166,SE,, ,Alexandria,Political List Brokers ,Political List Brokers ,VA,107 S. West St,PMB 826,22314,,,FALSE,S,SE24.1001,,,,
0,P60008059,Under Armour,P,R,US,/candidate/2016/bush-jeb/P60008059/,Consumer Discretionary,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,23,1994-10-11,,"Media Production - also opposes Trump, Cruz and Rubio",C00571372,SE,, ,Alexandria,Revolution Agency,Revolution Agency,VA,1020 Princess Street,,22314,,,FALSE,S,1,,,,
0,P00003392,First Solar Inc,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Information Technology,/committee/2016/human-rights-campaign-pac/C00235853/,,1522,P2016,,33,1993-04-30,,Mailing,C00235853,SE,, ,Washington,The Pivot Group,The Pivot Group,DC,1720 I St NW,,20006,,,FALSE,S,D622999,,,,
0,P00003392,Iron Mountain Incorporated,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Real Estate,/committee/2016/priorities-usa-action/C00495861/,,1522,P2016,,4,1988-02-14,,Digital Ad Buy,C00495861,SE,, ,Washington,Precision Network LLC,Precision Network LLC,DC,1140 Connecticut Ave NW,Ste 800,200364010,,,FALSE,S,VNTYH9SMYY1,,,,
0,P60008059,Lennar Corp.,P,R,US,/candidate/2016/bush-jeb/P60008059/,Consumer Discretionary,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,50,2002-04-19,,Direct Mail Postage,C00571372,SE,, ,Des Moines,Redwave Communications LLC,Redwave Communications LLC,IA,4019 Ingersoll Ave,,50312,,,FALSE,S,2,,,,
0,P60008059,Hologic,P,R,US,/candidate/2016/bush-jeb/P60008059/,Health Care,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,30,1990-06-22,,Direct Mail Production,C00571372,SE,, ,Des Moines,Redwave Communications LLC,Redwave Communications LLC,IA,4019 Ingersoll Ave,,50312,,,FALSE,S,1,,,,
0,P60008059,Wyndham Worldwide,P,R,US,/candidate/2016/bush-jeb/P60008059/,Consumer Discretionary,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,15,1993-10-23,,Direct Mail Postage,C00571372,SE,, ,Alpharetta,"The Stoneridge Group, LLC","The Stoneridge Group, LLC",GA,4400 North Point Parkway,Suite 190,30022,,,FALSE,S,2,,,,
0,P60008059,Qorvo,P,R,US,/candidate/2016/bush-jeb/P60008059/,Information Technology,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,18,1992-12-08,,Direct Mail Production,C00571372,SE,, ,Alpharetta,"The Stoneridge Group, LLC","The Stoneridge Group, LLC",GA,4400 North Point Parkway,Suite 190,30022,,,FALSE,S,1,,,,
0,P60008059,Varian Medical Systems,P,R,US,/candidate/2016/bush-jeb/P60008059/,Health Care,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,110,1985-02-16,,Media Placement - national cable buy on Fox News and MSNBC,C00571372,SE,, ,Springfield,Oath Strategies LLC,Oath Strategies LLC,VA,PO Box 2484,,22152,,,FALSE,S,1,,,,
0,P00003392,FMC Technologies Inc.,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Energy,/committee/2016/human-rights-campaign-pac/C00235853/,,1522,P2016,,26,1992-08-17,,Mailing,C00235853,SE,, ,Washington,The Pivot Group,The Pivot Group,DC,1720 I St NW,,20006,,,FALSE,S,D622998,,,,
0,P60005915,C. H. Robinson Worldwide,P,R,US,/candidate/2016/carson-benjamin-s-sr-md/P60005915/,Industrials,/committee/2016/2016-committee-the/C00569905/,,1522,P2016,,9,2001-12-27,,DIGITAL ADVERTISING,C00569905,SE,, ,ANNAPOLIS,"SAVANNA COMMUNICATIONS, LLC","SAVANNA COMMUNICATIONS, LLC",MD,755 SONNE DRIVE,,21041,,,FALSE,S,SE24.91592,,,,
0,P60005915,Juniper Networks,P,R,US,/candidate/2016/carson-benjamin-s-sr-md/P60005915/,Information Technology,/committee/2016/2016-committee-the/C00569905/,,1522,P2016,,69,1992-01-10,,SOCIAL MEDIA ADVERTISING,C00569905,SE,, ,ANNAPOLIS,"SAVANNA COMMUNICATIONS, LLC","SAVANNA COMMUNICATIONS, LLC",MD,755 SONNE DRIVE,,21041,,,FALSE,S,SE24.91591,,,,
0,P60008059,Federal Realty Investment Trust,P,R,US,/candidate/2016/bush-jeb/P60008059/,Real Estate,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,72,1987-05-12,,Media Placement - also opposes Kasich and Rubio,C00571372,SE,, ,Springfield,Oath Strategies LLC,Oath Strategies LLC,VA,PO Box 2484,,22152,,,FALSE,S,2,,,,
0,P60007168,LKQ Corporation,P,D,US,/candidate/2016/sanders-bernard/P60007168/,Consumer Discretionary,/committee/2016/national-nurses-united-for-patient-protection/C00490375/,,1522,P2016,,120,2008-01-29,,Printing,C00490375,SE,, ,Berkeley,Autumn Press,Autumn Press,CA,945 Camelia St,,947101437,,,FALSE,S,D710133,,,,
0,P60008059,Torchmark Corp.,P,R,US,/candidate/2016/bush-jeb/P60008059/,Financials,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,120,1992-01-29,,Media Placement - also opposes Kasich and Rubio,C00571372,SE,, ,Springfield,Oath Strategies LLC,Oath Strategies LLC,VA,PO Box 2484,,22152,,,FALSE,S,1,,,,
0,P60006723,Global Payments Inc,P,R,US,/candidate/2016/rubio-marco/P60006723/,Information Technology,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,24,2004-05-05,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5750,,,,
0,P60006723,Advance Auto Parts,P,R,US,/candidate/2016/rubio-marco/P60006723/,Consumer Discretionary,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,53,2007-10-04,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5747,,,,
0,P60006723,Pentair Ltd.,P,R,US,/candidate/2016/rubio-marco/P60006723/,Industrials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,65,2004-02-17,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5745,,,,
0,P60006723,EQT Corporation,P,R,US,/candidate/2016/rubio-marco/P60006723/,Energy,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,48,1989-07-29,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5740,,,,
0,P60006723,Wynn Resorts Ltd,P,R,US,/candidate/2016/rubio-marco/P60006723/,Consumer Discretionary,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,86,2000-06-04,,online advertising,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5738,,,,
0,P60006723,Pinnacle West Capital,P,R,US,/candidate/2016/rubio-marco/P60006723/,Utilities,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,55,1996-02-05,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5756,,,,
0,P60006723,Alliant Energy Corp,P,R,US,/candidate/2016/rubio-marco/P60006723/,Utilities,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,25,1998-11-07,,online advertising,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5752,,,,
0,P00003392,Avery Dennison Corp,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Materials,/committee/2016/planned-parenthood-votes/C00489799/,,1522,P2016,Democratic Primary,54,2006-04-02,,Persuasion calls,C00489799,SE,,,Raleigh,Planned Parenthood Votes South Atlantic,Planned Parenthood Votes South Atlantic,NC,100 S Boylan Ave,,27603,,,FALSE,S,B594184,,,,
0,P00003392,Tractor Supply Company,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Consumer Discretionary,/committee/2016/seiu-cope-service-employees-international-union-committee-on-political-education/C00004036/,,1522,P2016,,4,2005-10-24,,Canvassing Services,C00004036,SE,, ,Des Moines,"Terra Strategies, LLC","Terra Strategies, LLC",IA,100 East Grand Ave. Suite 380,,50309,,,FALSE,S,D363115,,,,
0,P60007168,Darden Restaurants,P,D,US,/candidate/2016/sanders-bernard/P60007168/,Consumer Discretionary,/committee/2016/national-nurses-united-for-patient-protection/C00490375/,,1522,P2016,,11,1999-12-07,,Postage,C00490375,SE,, ,San Leandro,"Postal Systems, Inc.","Postal Systems, Inc.",CA,1890 North Blvd.,,94577,,,FALSE,S,D710134,,,,
0,P00003392,Allegion,P,D,US,/candidate/2016/clinton-hillary-rodham/P00003392/,Industrials,/committee/2016/seiu-cope-service-employees-international-union-committee-on-political-education/C00004036/,,1522,P2016,,85,1996-11-25,,Voter Canvass Literature,C00004036,SE,, ,Washington,The Pivot Group,The Pivot Group,DC,"1720 I Street, NW Suite 550",,20006,,,FALSE,S,D363116,,,,
0,P60007168,Stericycle Inc,P,D,US,/candidate/2016/sanders-bernard/P60007168/,Industrials,/committee/2016/national-nurses-united-for-patient-protection/C00490375/,,1522,P2016,,35,1988-06-04,,Postage,C00490375,SE,, ,San Leandro,"Postal Systems, Inc.","Postal Systems, Inc.",CA,1890 North Blvd.,,94577,,,FALSE,S,D710107,,,,
0,P60007168,Quanta Services Inc.,P,D,US,/candidate/2016/sanders-bernard/P60007168/,Industrials,/committee/2016/national-nurses-united-for-patient-protection/C00490375/,,1522,P2016,,116,1988-05-29,,Postage,C00490375,SE,, ,San Leandro,"Postal Systems, Inc.","Postal Systems, Inc.",CA,1890 North Blvd.,,94577,,,FALSE,S,D710103,,,,
0,P60008059,Assurant Inc,P,R,US,/candidate/2016/bush-jeb/P60008059/,Financials,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,79,2007-10-25,,Media Placement - also opposes Rubio,C00571372,SE,, ,Alexandria,Revolution Agency,Revolution Agency,VA,1020 Princess Street,,22314,,,FALSE,S,1,,,,
0,P60008059,FMC Corporation,P,R,US,/candidate/2016/bush-jeb/P60008059/,Materials,/committee/2016/right-to-rise-usa/C00571372/,,1522,P2016,,66,1985-12-21,,Media Placement - also opposes Rubio,C00571372,SE,, ,Springfield,Oath Strategies LLC,Oath Strategies LLC,VA,PO Box 2484,,22152,,,FALSE,S,1,,,,
8,H6OH08315,Brown-Forman Corp.,H,R,OH,/candidate/2016/davidson-warren/H6OH08315/,Consumer Staples,/committee/2016/club-for-growth-action/C00487470/,,1396,P2016,,37,1987-05-25,,"tv ad air buy, production costs",C00487470,SE,, ,Bethesda,"Red Sea, LLC","Red Sea, LLC",MD,"4550 Montgomery Ave., North Tower",Ste. 906,20814,/race/2014/H/OH/08/,OH-08,FALSE,S,SE.5408,,,,
32,H2TX03126,UDR Inc,H,R,TX,/candidate/2016/sessions-pete-mr/H2TX03126/,Real Estate,/committee/2016/national-association-of-realtors-congressional-fund/C00488742/,,1471,P2016,,12,1997-08-12,,Online video production costs,C00488742,SE,,,Washington,Meath Media Group,Meath Media Group,DC,"4441 Klingle St., NW",,200163578,/race/2014/H/TX/32/,TX-32,FALSE,S,EFC20F24F1CA24F09B86,,,,
0,P60006723,Marathon Oil Corp.,P,R,US,/candidate/2016/rubio-marco/P60006723/,Energy,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,54,1990-11-03,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5567,,,,
0,P60006723,Rockwell Collins,P,R,US,/candidate/2016/rubio-marco/P60006723/,Industrials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,7,1993-01-06,,online advertising,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5561,,,,
0,P60006723,McCormick & Co.,P,R,US,/candidate/2016/rubio-marco/P60006723/,Consumer Staples,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,39,2000-09-01,,media production,C00541292,SE,, ,North Hollywood,"Chris Mottola Consulting, Inc.","Chris Mottola Consulting, Inc.",CA,"4130 Cahuenga Blvd., 230a",,91602,,,FALSE,S,SE.5518,,,,
0,P60006723,Dover Corp.,P,R,US,/candidate/2016/rubio-marco/P60006723/,Industrials,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,12,2007-01-08,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5558,,,,
0,P60006723,CenturyLink Inc,P,R,US,/candidate/2016/rubio-marco/P60006723/,Telecommunications Services,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,18,1995-12-07,,online advertising,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5555,,,,
0,P60006723,Centene Corporation,P,R,US,/candidate/2016/rubio-marco/P60006723/,Health Care,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,5,1995-07-25,,media placement-nationally disseminated,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5552,,,,
0,P60006723,CenterPoint Energy,P,R,US,/candidate/2016/rubio-marco/P60006723/,Utilities,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,58,1995-09-30,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5542,,,,
0,P60006723,"Universal Health Services, Inc.",P,R,US,/candidate/2016/rubio-marco/P60006723/,Health Care,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,11,1986-06-03,,online advertising,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5536,,,,
0,P60006723,Cimarex Energy,P,R,US,/candidate/2016/rubio-marco/P60006723/,Energy,/committee/2016/conservative-solutions-pac/C00541292/,,1522,P2016,,51,2003-09-24,,media placement,C00541292,SE,, ,Sherman Oaks,"Target Enterprises, LLC","Target Enterprises, LLC",CA,15260 Ventura Blvd.,Suite 1240,91403,,,FALSE,S,SE.5524,,,,
19,H6TX19149,NRG Energy,H,R,TX,/candidate/2016/starr-michael-bob/H6TX19149/,Utilities,/committee/2016/conservative-texans/C00603647/,,1456,P2016,,35,1995-08-07,,TV Ad Placement,C00603647,SE,, ,Austin,Anthem Media,Anthem Media,TX,5524 Bee Caves Rd Ste B-5,,78746,/race/2014/H/TX/19/,TX-19,FALSE,S,SE.4109,,,,
0,P60007242,Autodesk Inc,P,R,US,/candidate/2016/fiorina-carly/P60007242/,Information Technology,/committee/2016/conservative-authentic-responsive-leadership-for-you-and-for-america/C00573154/,,1522,P2016,,10,1984-04-30,,VOTER CONTACT MAIL,C00573154,SE,, ,MANCHESTER,SPECTRUM MARKETING COMPANIES,SPECTRUM MARKETING COMPANIES,NH,SPECTRUM MARKETING COMPANIES95 ED,STE 101,3102,,,FALSE,S,SE24.3956,,,,
0,P60003670,L-3 Communications Holdings,P,R,US,/candidate/2016/kasich-john-r/P60003670/,Industrials,/committee/2016/new-day-for-america/C00581868/,,1522,P2016,,14,1988-12-21,,MAIL,C00581868,SE,, ,Gahanna,"King Strategic Communications, Inc.","King Strategic Communications, Inc.",OH,750 Cross Pointe Blvd,,43230,,,FALSE,S,SE.5622,,,,
0,P60003670,Whirlpool Corp.,P,R,US,/candidate/2016/kasich-john-r/P60003670/,Consumer Discretionary,/committee/2016/new-day-for-america/C00581868/,,1522,P2016,,53,2007-01-27,,VOTER CONTACT,C00581868,SE,, ,Baltimore,"i360, LLC","i360, LLC",MD,PO Box 37046,,21297,,,FALSE,S,SE.5621,,,,
